C,No of Lines
68149.9,26
55606.2,32
26602.7,40
56735.9,32
59206.0,32
52730.0,32
98420.1,18
48825.8,32
11463.6,72
44873.8,34
70574.7,28
26647.1,54
99123.8,24
62697.4,30
57036.0,32
21163.6,56
74210.6,26
63651.5,30
22295.1,48
76307.5,28
6192.65,96
25467.4,44
13969.3,62
57706.6,32
47014.3,34
38502.7,38
10500.6,74
86079.7,28
88002.2,24
38483.3,38
47982.4,34
78660.9,24
86696.4,24
60824.3,32
24851.6,48
53417.9,34
571.635,174
62489.3,32
14257.9,60
99377.1,26
67625.4,32
50658.1,40
61578.1,34
29299.3,46
93971.6,26
73358.0,30
12562.8,60
91362.0,26
28492.1,40
66271.4,28
41079.6,40
183.927,182
28230.9,40
59593.1,30
70827.3,28
91084.8,28
63947.5,28
30036.7,40
54873.7,30
61732.4,30
60161.3,30
34485.8,42
70004.3,28
73685.0,28
74244.4,28
58183.6,30
48501.9,34
15644.0,58
74182.2,26
49564.6,34
8525.47,74
62628.9,30
23230.6,46
50328.4,34
74425.8,26
83973.3,26
75573.1,26
78758.8,26
59988.5,28
53237.0,30
79529.1,28
70498.4,28
20786.8,44
46842.0,32
51757.7,32
71082.0,28
12617.1,60
27452.2,36
99466.6,22
49778.2,30
43155.9,34
85024.0,26
