C,Lines,N
7.25625,54,130
0.25799,54,130
8.18396,54,130
4.59666,54,130
0.0729426,54,130
1.40651,54,130
9.67438,54,130
0.788282,78,131
9.33001,78,131
0.289643,78,131
5.29843,78,131
2.75913,78,131
0.42716,78,131
4.10103,78,131
6.73592,78,131
6.12717,78,131
7.5127,78,131
6.35942,62,132
1.78707,62,132
7.51292,62,132
2.71415,62,132
2.64183,62,132
7.77408,62,132
6.56037,62,132
5.81893,62,132
8.02321,62,132
6.24848,62,132
3.6024,70,133
1.29808,70,133
0.565569,70,133
6.99805,70,133
6.60174,70,133
2.53433,70,133
4.52095,70,133
9.3287,70,133
9.84547,70,133
7.16653,70,133
7.07698,40,134
4.83702,40,134
0.526356,40,134
0.845236,40,134
0.754031,40,134
8.50416,40,134
7.98101,40,134
7.02905,40,134
0.420301,40,134
0.574346,40,134
3.72611,70,135
1.24029,70,135
3.08241,70,135
4.5242,70,135
6.86165,70,135
1.45711,70,135
0.47805,70,135
2.35366,70,135
7.35184,70,135
1.17415,70,135
2.22472,104,136
4.37512,104,136
5.77729,104,136
2.01344,104,136
7.16181,104,136
6.84449,104,136
5.37549,104,136
9.61773,104,136
1.56987,104,136
2.31927,104,136
6.30989,76,137
7.54342,76,137
2.87299,76,137
1.21111,76,137
5.06125,76,137
2.38301,76,137
2.69445,76,137
8.89027,76,137
3.71671,76,137
5.42267,76,137
5.42217,68,138
5.38005,68,138
3.11689,68,138
2.69556,68,138
0.551623,68,138
5.23028,68,138
7.56701,68,138
8.70694,68,138
2.08637,68,138
1.39508,68,138
8.00104,50,139
9.94013,50,139
8.72613,50,139
6.74515,50,139
2.16086,50,139
3.7274,50,139
4.50473,50,139
9.37501,50,139
9.96179,50,139
2.67751,50,139
5.74202,28,140
2.39078,28,140
4.67736,28,140
2.13555,28,140
4.14366,28,140
8.62051,28,140
0.0759602,28,140
4.28662,28,140
0.118376,28,140
4.33225,28,140
7.62406,70,141
0.443546,70,141
7.86597,70,141
2.32835,70,141
2.01231,70,141
3.23354,70,141
5.38811,70,141
1.76057,70,141
1.83144,70,141
8.25173,70,141
9.5968,104,142
3.56422,104,142
1.65234,104,142
9.62859,104,142
8.58142,104,142
7.66761,104,142
4.14216,104,142
5.20152,104,142
5.55533,104,142
1.47421,104,142
0.000772484,64,143
4.54151,64,143
9.3253,64,143
2.84559,64,143
0.437159,64,143
3.03443,64,143
8.00537,64,143
9.68737,64,143
4.29063,64,143
7.93542,64,143
6.59724,50,144
3.38607,50,144
9.34894,50,144
5.71594,50,144
7.273,50,144
5.12927,50,144
1.32386,50,144
5.35851,50,144
6.63687,50,144
2.24339,50,144
8.63744,78,145
7.57629,78,145
2.99688,78,145
6.07852,78,145
8.47014,78,145
1.43416,78,145
3.27412,78,145
2.29355,78,145
6.1181,78,145
0.246291,78,145
0.0968708,90,146
6.18683,90,146
1.50968,90,146
8.43188,90,146
3.67784,90,146
2.27372,90,146
7.50462,90,146
3.4717,90,146
6.45634,90,146
2.44035,90,146
9.88925,70,147
3.10899,70,147
1.30843,70,147
5.79547,70,147
6.50041,70,147
1.92975,70,147
5.43128,70,147
1.75297,70,147
0.639892,70,147
5.39574,70,147
9.22255,98,148
0.461702,98,148
5.66169,98,148
3.35231,98,148
6.07896,98,148
7.34688,98,148
6.27278,98,148
4.42137,98,148
0.485429,98,148
9.39643,98,148
4.92435,78,149
7.65664,78,149
0.19086,78,149
7.69396,78,149
9.68519,78,149
5.55989,78,149
6.42718,78,149
9.63944,78,149
9.90809,78,149
1.00869,78,149
9.17451,70,150
8.85035,70,150
9.64326,70,150
8.36241,70,150
7.39589,70,150
2.78551,70,150
3.01494,70,150
8.41131,70,150
0.0264487,70,150
6.30246,70,150
0.260684,60,151
5.08598,60,151
2.72752,60,151
8.24292,60,151
2.82118,60,151
8.43905,60,151
6.07899,60,151
4.23315,60,151
5.90719,60,151
6.30441,60,151
8.02891,110,152
1.47547,110,152
7.53346,110,152
7.04889,110,152
0.526133,110,152
7.39404,110,152
4.94707,110,152
2.63061,110,152
1.87812,110,152
2.04515,110,152
6.52572,90,153
5.27003,90,153
5.15255,90,153
2.26412,90,153
4.99954,90,153
8.9883,90,153
7.2464,90,153
0.562828,90,153
3.48903,90,153
9.3733,90,153
6.32228,80,154
0.228115,80,154
8.01007,80,154
6.84644,80,154
0.564655,80,154
7.04153,80,154
1.31605,80,154
1.56902,80,154
6.90906,80,154
2.9978,80,154
4.41314,106,155
8.54048,106,155
4.04308,106,155
6.78922,106,155
5.83599,106,155
5.46052,106,155
5.97369,106,155
