Time,N
240624,246
265881,246
292576,246
278115,246
237956,246
283875,247
265167,247
282408,247
265455,247
296658,247
289393,247
273582,247
270480,247
256139,247
247483,247
177654,248
189748,248
191119,248
179557,248
190205,248
190838,248
176906,248
180183,248
197987,248
214161,248
252411,249
254805,249
257951,249
259832,249
262149,249
249963,249
265748,249
249193,249
259265,249
244056,249
249634,250
238450,250
256005,250
226392,250
249055,250
246855,250
241082,250
247361,250
246982,250
260404,250
229646,251
235369,251
251901,251
233518,251
230763,251
239360,251
251486,251
241338,251
229498,251
273497,251
242066,252
235109,252
214913,252
213853,252
206192,252
203901,252
193393,252
228988,252
225192,252
203082,252
206383,253
221766,253
209862,253
211243,253
226609,253
215684,253
219407,253
234935,253
218519,253
201337,253
256368,254
254682,254
243874,254
252785,254
251676,254
240121,254
247403,254
248822,254
249513,254
235917,254
216575,255
221703,255
233504,255
213968,255
232274,255
229161,255
236636,255
211788,255
228605,255
218807,255
268018,256
265136,256
282589,256
290688,256
270642,256
289321,256
286899,256
280984,256
276046,256
281341,256
326777,257
302974,257
318709,257
324178,257
318691,257
335521,257
332520,257
299873,257
290544,257
289042,257
246944,258
247609,258
227904,258
249378,258
291099,258
288202,258
285236,258
271273,258
260137,258
258028,258
184506,259
177525,259
182509,259
217416,259
203398,259
174481,259
167971,259
180016,259
169141,259
175225,259
237006,260
256485,260
261539,260
254521,260
263394,260
253068,260
247929,260
233409,260
237872,260
250645,260
177215,261
171455,261
169846,261
189063,261
173199,261
171707,261
170587,261
184341,261
179151,261
175896,261
266946,262
258820,262
252830,262
250532,262
270528,262
254494,262
246234,262
262880,262
255433,262
245021,262
274632,263
291842,263
276537,263
286656,263
299271,263
291386,263
293335,263
292242,263
280862,263
270575,263
235600,264
227739,264
219680,264
242014,264
253244,264
251287,264
237885,264
248251,264
255908,264
241791,264
384996,265
386933,265
373055,265
379073,265
355503,265
395464,265
373048,265
353595,265
352518,265
335495,265
195994,266
195885,266
214269,266
205590,266
194869,266
211455,266
209649,266
198543,266
228565,266
205714,266
198812,267
231000,267
217621,267
200372,267
238979,267
215253,267
205552,267
213342,267
214638,267
216345,267
259434,268
259844,268
245383,268
240700,268
253564,268
250915,268
243877,268
261265,268
251287,268
240995,268
227168,269
252005,269
242767,269
234302,269
233023,269
257303,269
239497,269
238536,269
259214,269
245839,269
217240,270
231062,270
226998,270
220158,270
226576,270
225143,270
218147,270
214089,270
225500,270
225375,270
240184,271
252065,271
257348,271
240675,271
245528,271
252008,271
247847,271
240807,271
228035,271
255643,271
250850,272
252249,272
264613,272
250030,272
239440,272
275367,272
248968,272
268064,272
272339,272
264850,272
304681,273
248929,273
281793,273
260572,273
258454,273
263962,273
245260,273
265061,273
266343,273
253427,273
273426,274
263329,274
255924,274
273269,274
270985,274
261698,274
270747,274
266463,274
259843,274
293894,274
283196,275
280915,275
277794,275
266403,275
264995,275
256459,275
280869,275
266133,275
265607,275
280369,275
253093,276
250324,276
275078,276
303098,276
263871,276
255275,276
272780,276
266469,276
248991,276
242463,276
249804,277
245494,277
250506,277
277856,277
267468,277
275625,277
258996,277
262783,277
253995,277
253045,277
319232,278
295861,278
274977,278
277526,278
302359,278
293165,278
302327,278
303507,278
316956,278
317293,278
272160,279
291833,279
263774,279
258878,279
269183,279
265041,279
256936,279
269606,279
270580,279
252077,279
239020,280
